,C,K,Validation,Test,Normalized
0,0.001,1,0.702,0.712,False
1,0.0011497569953977356,1,0.702,0.712,False
2,0.0013219411484660286,1,0.702,0.712,False
3,0.0015199110829529332,1,0.702,0.712,False
4,0.001747528400007683,1,0.702,0.712,False
5,0.002009233002565048,1,0.702,0.712,False
6,0.0023101297000831605,1,0.702,0.712,False
7,0.0026560877829466868,1,0.702,0.712,False
8,0.0030538555088334154,1,0.702,0.712,False
9,0.003511191734215131,1,0.702,0.712,False
10,0.004037017258596553,1,0.702,0.712,False
11,0.004641588833612782,1,0.702,0.712,False
12,0.005336699231206312,1,0.702,0.712,False
13,0.006135907273413176,1,0.702,0.712,False
14,0.007054802310718645,1,0.702,0.712,False
15,0.008111308307896872,1,0.702,0.712,False
16,0.0093260334688322,1,0.702,0.712,False
17,0.010722672220103232,1,0.702,0.712,False
18,0.012328467394420659,1,0.702,0.712,False
19,0.014174741629268055,1,0.702,0.712,False
20,0.016297508346206444,1,0.702,0.712,False
21,0.01873817422860384,1,0.702,0.712,False
22,0.021544346900318846,1,0.702,0.712,False
23,0.024770763559917114,1,0.702,0.712,False
24,0.02848035868435802,1,0.702,0.712,False
25,0.03274549162877728,1,0.702,0.712,False
26,0.037649358067924674,1,0.702,0.712,False
27,0.04328761281083059,1,0.702,0.712,False
28,0.049770235643321115,1,0.702,0.712,False
29,0.05722367659350217,1,0.702,0.712,False
30,0.06579332246575682,1,0.702,0.712,False
31,0.07564633275546291,1,0.702,0.712,False
32,0.08697490026177834,1,0.702,0.712,False
33,0.1,1,0.702,0.712,False
34,0.11497569953977356,1,0.702,0.712,False
35,0.13219411484660287,1,0.702,0.712,False
36,0.1519911082952933,1,0.702,0.712,False
37,0.1747528400007685,1,0.702,0.712,False
38,0.2009233002565048,1,0.702,0.712,False
39,0.23101297000831605,1,0.702,0.712,False
40,0.26560877829466867,1,0.702,0.712,False
41,0.30538555088334157,1,0.702,0.712,False
42,0.3511191734215131,1,0.702,0.712,False
43,0.40370172585965536,1,0.698,0.714,False
44,0.4641588833612782,1,0.706,0.726,False
45,0.5336699231206312,1,0.74,0.746,False
46,0.6135907273413176,1,0.742,0.767,False
47,0.7054802310718645,1,0.748,0.786,False
48,0.8111308307896873,1,0.766,0.785,False
49,0.9326033468832199,1,0.774,0.793,False
50,1.072267222010323,1,0.772,0.792,False
51,1.232846739442066,1,0.774,0.789,False
52,1.4174741629268048,1,0.76,0.788,False
53,1.629750834620645,1,0.766,0.79,False
54,1.873817422860385,1,0.766,0.787,False
55,2.1544346900318843,1,0.764,0.785,False
56,2.4770763559917115,1,0.754,0.779,False
57,2.848035868435802,1,0.758,0.779,False
58,3.2745491628777286,1,0.758,0.775,False
59,3.7649358067924674,1,0.764,0.777,False
60,4.328761281083062,1,0.766,0.778,False
61,4.9770235643321135,1,0.77,0.777,False
62,5.72236765935022,1,0.77,0.776,False
63,6.5793322465756825,1,0.77,0.776,False
64,7.56463327554629,1,0.77,0.776,False
65,8.697490026177835,1,0.77,0.776,False
66,10.0,1,0.77,0.776,False
67,11.497569953977356,1,0.77,0.776,False
68,13.219411484660288,1,0.77,0.776,False
69,15.199110829529332,1,0.77,0.776,False
70,17.47528400007683,1,0.77,0.776,False
71,20.09233002565046,1,0.77,0.776,False
72,23.10129700083158,1,0.77,0.776,False
73,26.560877829466893,1,0.77,0.776,False
74,30.538555088334185,1,0.77,0.776,False
75,35.111917342151344,1,0.77,0.776,False
76,40.37017258596558,1,0.77,0.776,False
77,46.41588833612782,1,0.77,0.776,False
78,53.366992312063125,1,0.77,0.776,False
79,61.35907273413176,1,0.77,0.776,False
80,70.54802310718645,1,0.77,0.776,False
81,81.11308307896873,1,0.77,0.776,False
82,93.26033468832199,1,0.77,0.776,False
83,107.22672220103232,1,0.77,0.776,False
84,123.28467394420659,1,0.77,0.776,False
85,141.74741629268047,1,0.77,0.776,False
86,162.97508346206433,1,0.77,0.776,False
87,187.3817422860383,1,0.77,0.776,False
88,215.44346900318865,1,0.77,0.776,False
89,247.7076355991714,1,0.77,0.776,False
90,284.8035868435805,1,0.77,0.776,False
91,327.4549162877732,1,0.77,0.776,False
92,376.49358067924715,1,0.77,0.776,False
93,432.87612810830615,1,0.77,0.776,False
94,497.7023564332114,1,0.77,0.776,False
95,572.236765935022,1,0.77,0.776,False
96,657.9332246575682,1,0.77,0.776,False
97,756.463327554629,1,0.77,0.776,False
98,869.7490026177834,1,0.77,0.776,False
99,1000.0,1,0.77,0.776,False
100,0.001,2,0.722,0.729,False
101,0.0011497569953977356,2,0.722,0.729,False
102,0.0013219411484660286,2,0.722,0.729,False
103,0.0015199110829529332,2,0.722,0.729,False
104,0.001747528400007683,2,0.722,0.729,False
105,0.002009233002565048,2,0.722,0.729,False
106,0.0023101297000831605,2,0.722,0.729,False
107,0.0026560877829466868,2,0.722,0.729,False
108,0.0030538555088334154,2,0.722,0.729,False
109,0.003511191734215131,2,0.722,0.729,False
110,0.004037017258596553,2,0.722,0.729,False
111,0.004641588833612782,2,0.722,0.729,False
112,0.005336699231206312,2,0.722,0.729,False
113,0.006135907273413176,2,0.722,0.729,False
114,0.007054802310718645,2,0.722,0.729,False
115,0.008111308307896872,2,0.722,0.729,False
116,0.0093260334688322,2,0.722,0.729,False
117,0.010722672220103232,2,0.722,0.729,False
118,0.012328467394420659,2,0.722,0.729,False
119,0.014174741629268055,2,0.722,0.729,False
120,0.016297508346206444,2,0.722,0.729,False
121,0.01873817422860384,2,0.722,0.729,False
122,0.021544346900318846,2,0.722,0.729,False
123,0.024770763559917114,2,0.722,0.729,False
124,0.02848035868435802,2,0.722,0.729,False
125,0.03274549162877728,2,0.722,0.729,False
126,0.037649358067924674,2,0.722,0.729,False
127,0.04328761281083059,2,0.722,0.729,False
128,0.049770235643321115,2,0.722,0.729,False
129,0.05722367659350217,2,0.722,0.729,False
130,0.06579332246575682,2,0.722,0.729,False
131,0.07564633275546291,2,0.722,0.729,False
132,0.08697490026177834,2,0.722,0.729,False
133,0.1,2,0.722,0.729,False
134,0.11497569953977356,2,0.722,0.729,False
135,0.13219411484660287,2,0.722,0.729,False
136,0.1519911082952933,2,0.722,0.729,False
137,0.1747528400007685,2,0.722,0.729,False
138,0.2009233002565048,2,0.722,0.729,False
139,0.23101297000831605,2,0.722,0.729,False
140,0.26560877829466867,2,0.722,0.729,False
141,0.30538555088334157,2,0.722,0.729,False
142,0.3511191734215131,2,0.722,0.729,False
143,0.40370172585965536,2,0.722,0.729,False
144,0.4641588833612782,2,0.72,0.727,False
145,0.5336699231206312,2,0.72,0.741,False
146,0.6135907273413176,2,0.744,0.756,False
147,0.7054802310718645,2,0.752,0.765,False
148,0.8111308307896873,2,0.766,0.771,False
149,0.9326033468832199,2,0.786,0.794,False
150,1.072267222010323,2,0.786,0.805,False
151,1.232846739442066,2,0.784,0.812,False
152,1.4174741629268048,2,0.79,0.82,False
153,1.629750834620645,2,0.79,0.821,False
154,1.873817422860385,2,0.796,0.826,False
155,2.1544346900318843,2,0.8,0.825,False
156,2.4770763559917115,2,0.8,0.822,False
