,C,K,Validation,Test,Normalized
0,0.001,1,0.6048438495857233,0.596,False
1,0.0011497569953977356,1,0.6048438495857233,0.596,False
2,0.0013219411484660286,1,0.6048438495857233,0.596,False
3,0.0015199110829529332,1,0.6048438495857233,0.596,False
4,0.001747528400007683,1,0.6048438495857233,0.596,False
5,0.002009233002565048,1,0.6048438495857233,0.596,False
6,0.0023101297000831605,1,0.6048438495857233,0.596,False
7,0.0026560877829466868,1,0.6048438495857233,0.596,False
8,0.0030538555088334154,1,0.6048438495857233,0.596,False
9,0.003511191734215131,1,0.6048438495857233,0.596,False
10,0.004037017258596553,1,0.6048438495857233,0.596,False
11,0.004641588833612782,1,0.6048438495857233,0.596,False
12,0.005336699231206312,1,0.6048438495857233,0.596,False
13,0.006135907273413176,1,0.6048438495857233,0.596,False
14,0.007054802310718645,1,0.6048438495857233,0.596,False
15,0.008111308307896872,1,0.6048438495857233,0.596,False
16,0.0093260334688322,1,0.6048438495857233,0.596,False
17,0.010722672220103232,1,0.6048438495857233,0.596,False
18,0.012328467394420659,1,0.6048438495857233,0.596,False
19,0.014174741629268055,1,0.6048438495857233,0.596,False
20,0.016297508346206444,1,0.6048438495857233,0.596,False
21,0.01873817422860384,1,0.6048438495857233,0.596,False
22,0.021544346900318846,1,0.6048438495857233,0.596,False
23,0.024770763559917114,1,0.6048438495857233,0.596,False
24,0.02848035868435802,1,0.6048438495857233,0.596,False
25,0.03274549162877728,1,0.6048438495857233,0.596,False
26,0.037649358067924674,1,0.6048438495857233,0.596,False
27,0.04328761281083059,1,0.6048438495857233,0.596,False
28,0.049770235643321115,1,0.6048438495857233,0.596,False
29,0.05722367659350217,1,0.6048438495857233,0.596,False
30,0.06579332246575682,1,0.6048438495857233,0.596,False
31,0.07564633275546291,1,0.6048438495857233,0.596,False
32,0.08697490026177834,1,0.6048438495857233,0.596,False
33,0.1,1,0.6048438495857233,0.596,False
34,0.11497569953977356,1,0.6048438495857233,0.596,False
35,0.13219411484660287,1,0.6048438495857233,0.596,False
36,0.1519911082952933,1,0.6048438495857233,0.596,False
37,0.1747528400007685,1,0.6048438495857233,0.596,False
38,0.2009233002565048,1,0.6048438495857233,0.596,False
39,0.23101297000831605,1,0.6048438495857233,0.596,False
40,0.26560877829466867,1,0.6048438495857233,0.596,False
41,0.30538555088334157,1,0.6048438495857233,0.596,False
42,0.3511191734215131,1,0.6048438495857233,0.596,False
43,0.40370172585965536,1,0.6048438495857233,0.596,False
44,0.4641588833612782,1,0.6048438495857233,0.596,False
45,0.5336699231206312,1,0.6048438495857233,0.596,False
